Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
50.0,Male,USA,Houston,1.8,15.0,37.9,6.1,48.9,8.0,14.3,47.26,30.0,74.28,16.0,19.5,7.0,3.0,3.3,26.1,4.0,524.72,1883.0,0,Q4
35.0,Female,Japan,Nagoya,6.8,12.0,33.3,5.6,36.3,3.0,22.1,75.92,3.0,45.6,9.4,20.0,3.0,0.0,36.4,26.7,3.0,1432.02,3138.0,0,Q4
30.0,Male,USA,Los Angeles,2.8,18.0,46.6,16.1,22.6,6.0,23.0,54.45,32.0,84.8,,28.0,5.0,3.0,86.2,39.3,,1160.84,3309.0,0,Q2
41.0,Female,UK,Leeds,2.3,0.0,14.9,7.0,64.4,1.0,11.7,161.25,2.0,98.4,2.6,0.0,4.0,0.0,,13.5,4.0,1547.01,1525.0,0,Q4
28.0,Male,UK,Birmingham,4.4,10.0,32.1,11.0,58.8,6.0,18.2,77.74,21.0,30.48,2.6,31.3,8.0,3.0,,18.5,1.0,947.18,1762.0,0,Q4
42.0,Female,India,Mumbai,1.0,10.0,24.8,9.9,52.0,7.0,9.0,69.33,3.0,56.6,,13.6,7.0,1.0,34.0,17.1,1.0,592.44,953.0,0,Q2
36.0,Female,France,Toulouse,3.5,9.0,23.7,6.5,59.8,6.0,11.0,89.76,14.0,66.3,1.5,26.5,2.0,2.0,0.0,16.5,2.0,852.17,1548.0,0,Q2
50.0,Female,USA,Phoenix,5.2,8.0,30.4,10.1,43.3,8.0,13.0,143.34,9.0,53.2,6.2,,5.0,3.0,60.0,,3.0,1660.47,2850.0,0,Q2
18.0,Female,Germany,Munich,1.3,12.0,19.7,9.6,78.5,1.0,9.0,135.88,16.0,64.7,,21.6,9.0,3.0,16.5,20.3,2.0,1395.68,3122.0,0,Q1
38.0,Male,Germany,Berlin,1.3,9.0,17.4,9.9,55.6,2.0,7.800000000000001,38.08,40.0,25.92,3.5,12.8,11.0,4.0,16.4,14.7,3.0,187.28,1228.0,0,Q4
44.0,Male,Australia,Melbourne,2.3,19.0,33.2,9.8,53.6,12.0,16.0,155.71,5.0,68.6,4.3,50.3,3.0,4.0,,19.5,2.0,2125.38,2137.0,0,Q1
,Female,Australia,Sydney,0.4,17.0,34.3,11.9,62.1,5.0,10.0,121.5,68.0,77.8,2.9,33.9,8.0,6.0,42.4,20.4,2.0,1411.75,1233.0,0,Q3
45.0,Female,Canada,Ottawa,2.6,22.0,34.0,10.7,48.2,7.0,16.0,108.09,26.0,58.1,4.1,24.0,4.0,4.0,46.5,24.0,3.0,1628.03,3077.0,0,Q3
61.0,Male,UK,Leeds,2.6,8.0,20.9,5.2,49.6,,16.900000000000002,100.79,97.0,31.2,,21.6,6.0,1.0,53.7,17.7,4.0,1259.37,2039.0,0,Q4
47.0,Female,USA,Chicago,1.0,14.0,31.8,9.0,57.6,5.0,10.0,195.62,2.0,38.9,4.8,14.3,7.0,5.0,39.0,21.8,4.0,1576.49,2097.0,0,Q1
40.0,Male,USA,New York,1.8,14.0,31.8,11.2,59.2,9.0,26.0,196.47,68.0,82.68,3.8,17.8,5.0,2.0,,24.7,2.0,4682.59,1323.0,0,Q4
45.0,Male,USA,Los Angeles,2.2,15.0,21.4,8.9,77.5,5.0,14.0,129.13,79.0,58.2,5.6,17.1,2.0,3.0,0.0,19.7,2.0,1580.11,804.0,0,Q3
31.0,Female,UK,Manchester,4.5,27.0,37.9,13.5,45.1,9.0,18.0,48.58,6.0,27.8,11.1,26.4,3.0,7.0,,20.8,4.0,914.56,3389.0,0,Q3
32.0,Female,USA,Chicago,3.6,22.0,37.4,12.8,35.6,6.0,14.0,182.65,0.0,18.2,2.9,29.9,4.0,9.0,21.0,29.1,1.0,2505.5,2366.0,0,Q1
50.0,Female,USA,Los Angeles,0.1,10.0,29.7,13.8,56.4,7.0,14.0,75.27,32.0,37.5,7.4,34.5,5.0,4.0,32.8,23.5,2.0,1054.27,3289.0,0,Q2
37.0,Female,Australia,Sydney,3.0,25.0,43.7,16.2,43.1,5.0,18.0,48.01,30.0,59.6,16.5,39.5,3.0,1.0,41.6,35.0,2.0,950.25,,0,Q2
43.0,Female,India,Bangalore,1.6,18.0,53.9,16.9,36.4,,29.9,131.96,88.0,17.16,19.2,60.9,2.0,7.0,76.2,31.0,4.0,2518.41,3910.0,0,Q4
39.0,Male,USA,Los Angeles,0.8,17.0,27.8,4.5,65.1,3.0,8.0,90.16,6.0,49.7,1.9,7.5,11.0,0.0,36.2,15.4,1.0,670.75,1633.0,0,Q2
37.0,Female,UK,Leeds,5.9,0.0,,9.0,62.9,3.0,6.0,124.09,14.0,64.0,4.5,0.0,8.0,0.0,0.0,22.0,3.0,814.41,1172.0,0,Q1
21.0,Male,USA,Houston,8.7,0.0,20.8,7.8,71.2,5.0,12.0,149.33,22.0,70.3,12.6,23.0,4.0,5.0,25.2,19.4,3.0,1490.14,1416.0,0,Q2
44.0,Male,UK,Leeds,2.4,19.0,37.9,9.7,43.9,5.0,15.0,154.19,8.0,29.2,5.5,24.6,2.0,2.0,52.6,23.1,1.0,2444.78,3155.0,0,Q1
18.0,Female,UK,Leeds,1.7,12.0,40.4,8.0,52.3,6.0,18.0,262.83,1.0,,5.5,29.9,2.0,6.0,40.1,15.7,2.0,5196.65,2159.0,0,Q2
41.0,Male,UK,Leeds,0.6,3.0,22.9,7.0,50.7,2.0,6.0,128.63,19.0,46.9,4.3,12.4,10.0,2.0,0.0,14.3,3.0,790.84,1039.0,0,Q3
30.0,Male,Australia,Sydney,3.9,15.0,25.9,8.9,55.0,4.0,16.900000000000002,150.44,4.0,64.92,17.7,26.3,7.0,3.0,,13.0,4.0,1734.09,667.0,0,Q4
52.0,Male,Canada,Montreal,3.5,14.0,36.8,8.6,43.3,8.0,15.6,117.24,27.0,42.12,2.5,28.7,5.0,2.0,38.8,16.7,2.0,1523.32,1497.0,0,Q4
27.0,Male,Australia,Brisbane,1.2,19.0,39.3,10.1,47.0,4.0,15.0,73.3,47.0,15.5,12.2,38.0,5.0,2.0,41.0,17.4,1.0,1258.54,,0,Q3
49.0,Male,India,Chennai,3.3,17.0,38.8,10.3,49.5,4.0,14.0,98.33,71.0,10.0,2.3,17.7,4.0,1.0,24.2,16.3,1.0,1401.73,2011.0,0,Q1
25.0,Male,USA,Houston,2.0,11.0,30.5,5.7,36.3,4.0,18.2,105.66,95.0,62.88,2.0,26.6,5.0,2.0,41.1,13.8,3.0,1502.02,615.0,0,Q4
31.0,Female,Canada,Calgary,2.1,15.0,20.5,10.3,69.6,3.0,15.6,79.69,6.0,26.64,5.8,19.0,7.0,5.0,10.8,23.4,3.0,1094.63,2592.0,0,Q4
40.0,Female,USA,Phoenix,0.4,15.0,,8.1,66.8,4.0,13.0,167.34,1.0,65.1,1.5,11.7,5.0,2.0,31.7,16.7,2.0,1855.6,0.0,0,Q3
39.0,Female,Japan,Osaka,3.2,5.0,19.7,6.1,65.3,4.0,6.0,146.47,10.0,14.4,7.4,,8.0,1.0,1.6,16.4,4.0,768.95,692.0,0,Q2
51.0,Male,UK,Manchester,5.4,6.0,33.6,6.6,67.5,4.0,12.0,127.18,58.0,16.9,6.4,23.6,8.0,1.0,12.1,23.5,2.0,1593.91,3427.0,0,Q1
47.0,Female,USA,Chicago,4.6,13.0,45.9,11.8,50.6,6.0,19.5,110.93,7.0,41.88,14.0,23.8,5.0,8.0,28.3,25.6,3.0,1643.24,2805.0,0,Q4
35.0,Male,France,Marseille,1.6,0.0,22.5,9.4,65.7,2.0,7.0,198.16,16.0,69.3,8.1,0.0,4.0,4.0,1.3,8.5,1.0,1272.16,1117.0,0,Q2
36.0,Male,USA,Chicago,2.2,11.0,24.3,9.7,51.0,9.0,11.7,110.8,1.0,100.32,4.2,32.3,7.0,3.0,29.1,19.5,1.0,1069.85,2976.0,0,Q4
40.0,Male,USA,Los Angeles,4.7,15.0,28.3,8.0,71.1,,14.0,237.32,19.0,75.9,2.0,23.5,5.0,4.0,36.9,,2.0,3202.79,2061.0,0,Q2
,Male,UK,Glasgow,1.1,6.0,27.6,9.1,56.0,7.0,12.0,121.97,16.0,66.8,0.1,6.9,3.0,1.0,35.6,22.3,1.0,1294.06,1559.0,0,Q3
50.0,Male,France,Toulouse,1.0,21.0,34.9,12.9,34.8,,24.7,98.22,31.0,57.12,6.5,33.1,3.0,10.0,59.2,32.6,4.0,2224.16,2588.0,0,Q4
18.0,Female,USA,Chicago,3.2,6.0,32.5,11.8,63.7,5.0,13.0,87.39,39.0,89.64,3.1,,9.0,3.0,50.1,20.0,2.0,856.87,4404.0,0,Q4
44.0,Male,UK,Glasgow,5.5,11.0,23.5,6.5,48.2,8.0,11.0,93.14,43.0,30.5,,45.0,6.0,2.0,14.4,17.6,2.0,1062.91,3754.0,0,Q1
37.0,Other,UK,Leeds,6.1,5.0,,5.0,71.1,1.0,14.0,79.02,8.0,27.3,9.0,0.0,9.0,2.0,40.5,12.7,3.0,953.79,983.0,0,Q3
43.0,Female,UK,Manchester,4.0,10.0,20.4,5.8,65.7,,10.0,118.37,23.0,71.4,5.9,0.0,4.0,,42.2,16.8,3.0,1136.27,2208.0,0,Q2
,Female,USA,New York,7.0,10.0,19.9,6.9,62.8,1.0,12.0,113.65,36.0,53.3,4.7,31.3,9.0,3.0,33.8,6.5,3.0,1368.86,1089.0,0,Q1
30.0,Male,USA,Houston,5.3,18.0,29.0,8.3,51.1,8.0,13.0,96.76,36.0,18.5,9.0,29.5,9.0,8.0,62.6,20.9,3.0,1253.12,2334.0,0,Q2
25.0,Male,UK,Birmingham,4.1,10.0,26.9,4.9,74.3,2.0,9.0,110.22,10.0,77.2,1.9,18.3,7.0,2.0,,17.6,2.0,1179.85,1018.0,0,Q2
39.0,Male,Germany,Munich,4.6,19.0,27.2,4.7,53.0,8.0,20.0,75.68,49.0,70.5,2.9,27.4,9.0,3.0,11.5,20.8,3.0,1515.22,1533.0,0,Q2
49.0,Male,Australia,Adelaide,1.4,18.0,36.2,11.9,42.9,7.0,13.0,88.82,13.0,55.7,16.3,19.7,8.0,4.0,28.8,19.1,3.0,1382.8,1476.0,0,Q3
32.0,Female,USA,New York,3.5,25.0,36.1,7.2,35.2,3.0,28.6,114.02,10.0,27.72,,19.4,0.0,5.0,35.8,31.1,3.0,2054.34,2904.0,0,Q4
49.0,Female,USA,Los Angeles,1.3,13.0,32.3,14.4,42.7,7.0,14.0,108.92,18.0,45.6,28.2,44.4,11.0,4.0,53.2,17.5,4.0,1324.05,4083.0,0,Q2
35.0,Female,USA,New York,4.8,12.0,27.8,4.9,56.3,7.0,14.0,75.25,53.0,74.5,4.2,15.4,4.0,4.0,16.7,18.2,1.0,1132.45,2116.0,0,Q3
41.0,Female,France,Lyon,2.3,2.0,32.1,8.2,54.6,3.0,13.0,79.03,10.0,71.16,2.5,,9.0,3.0,39.9,,3.0,807.79,1432.0,0,Q4
39.0,Male,Japan,Tokyo,3.4,11.0,35.7,5.2,48.5,4.0,27.3,43.36,2.0,11.4,4.0,27.8,7.0,1.0,19.8,16.7,2.0,1072.45,1843.0,0,Q4
45.0,Female,UK,Leeds,3.0,18.0,26.2,6.0,78.9,2.0,14.3,194.62,51.0,65.39999999999999,0.7,15.8,7.0,2.0,9.5,20.4,2.0,1827.73,2574.0,0,Q4
45.0,Male,UK,Leeds,1.9,4.0,17.3,7.8,73.2,1.0,8.0,58.96,2.0,37.8,1.9,24.4,6.0,2.0,17.6,8.3,3.0,428.44,1930.0,0,Q1
34.0,Female,USA,New York,0.5,12.0,23.3,8.2,36.5,2.0,8.0,94.71,,11.3,7.4,29.2,7.0,6.0,43.4,17.9,2.0,888.52,1729.0,0,Q3
44.0,Female,Australia,Adelaide,3.2,12.0,30.3,8.7,49.4,5.0,13.0,146.6,161.0,21.9,17.3,26.6,5.0,1.0,40.0,10.7,3.0,1659.78,3719.0,0,Q1
41.0,Female,India,Bangalore,1.2,16.0,31.2,9.6,36.4,6.0,18.0,97.42,97.0,22.7,4.7,23.6,1.0,3.0,39.1,28.7,3.0,1562.73,4049.0,0,Q2
21.0,Male,UK,London,5.2,13.0,26.9,10.7,49.4,1.0,15.0,122.72,55.0,51.6,7.7,29.3,6.0,5.0,31.9,26.4,2.0,1745.6,3989.0,0,Q2
48.0,Female,Canada,Calgary,0.4,20.0,30.2,6.5,44.4,8.0,11.0,132.59,25.0,24.9,7.4,30.6,2.0,,44.4,11.2,2.0,1476.37,1524.0,0,Q2
34.0,Male,UK,Manchester,4.3,5.0,27.6,7.5,55.8,,19.0,60.11,39.0,17.1,4.7,19.6,4.0,4.0,2.9,22.9,3.0,1026.35,0.0,0,Q2
,Male,USA,Phoenix,2.1,11.0,12.4,4.5,66.4,1.0,7.0,140.02,6.0,40.4,7.4,11.7,10.0,1.0,1.1,13.1,2.0,1173.14,0.0,0,Q3
52.0,Male,USA,New York,1.6,23.0,33.6,12.7,38.4,7.0,18.0,193.25,23.0,47.9,6.8,39.1,4.0,3.0,29.8,26.2,4.0,4160.45,4960.0,0,Q2
43.0,Male,USA,Los Angeles,3.8,18.0,30.5,7.6,62.8,1.0,10.0,122.58,9.0,64.9,0.9,34.5,6.0,0.0,18.1,,4.0,1397.46,3506.0,0,Q2
20.0,Female,Australia,Sydney,1.7,15.0,34.0,9.2,63.1,3.0,14.0,119.18,21.0,,8.9,47.0,9.0,3.0,26.6,29.1,2.0,1403.14,3393.0,0,Q1
55.0,Female,France,Lyon,2.2,27.0,45.2,17.0,20.2,13.0,32.5,190.61,18.0,26.04,3.4,34.6,4.0,3.0,68.0,,,4295.41,3085.0,0,Q4
39.0,Female,UK,Manchester,1.0,6.0,,7.2,62.2,5.0,13.0,57.96,7.0,21.36,6.5,0.0,5.0,1.0,0.0,21.4,2.0,690.33,614.0,0,Q4
59.0,Female,UK,Glasgow,1.0,8.0,19.8,11.4,55.1,10.0,14.0,174.84,14.0,57.9,6.8,27.7,5.0,4.0,0.0,15.4,1.0,2075.22,1672.0,0,Q2
32.0,Male,France,Nice,1.7,3.0,18.1,4.2,69.2,2.0,9.0,98.84,46.0,15.6,1.0,17.3,6.0,1.0,28.7,8.4,1.0,780.77,335.0,0,Q1
36.0,Male,Canada,Montreal,6.4,18.0,38.7,,45.7,9.0,29.9,121.76,,75.96,17.0,54.8,4.0,5.0,64.7,21.2,3.0,3088.75,2853.0,0,Q4
26.0,Male,Canada,Montreal,2.4,7.0,25.3,9.0,65.6,4.0,8.0,88.11,1.0,17.8,5.4,23.1,3.0,2.0,44.2,11.6,2.0,789.34,3710.0,0,Q2
51.0,Male,Australia,Perth,0.2,27.0,51.9,18.4,19.6,,21.0,75.79,32.0,15.6,10.9,36.1,1.0,,67.0,40.3,4.0,1508.54,4184.0,0,Q1
33.0,Female,USA,Houston,1.5,5.0,13.0,4.9,77.0,0.0,12.0,117.04,51.0,33.7,8.4,1.3,8.0,,0.0,7.9,,1609.66,1333.0,0,Q1
45.0,Male,Germany,Hamburg,5.2,10.0,25.5,11.4,53.4,0.0,8.0,138.57,,24.4,5.3,22.7,5.0,1.0,21.1,22.8,1.0,906.43,2347.0,0,Q3
36.0,Male,USA,New York,1.4,22.0,40.9,14.0,25.5,5.0,15.0,70.67,37.0,15.1,7.1,36.8,8.0,7.0,57.8,29.2,1.0,933.65,2190.0,0,Q2
50.0,Male,India,Chennai,2.1,14.0,26.6,9.5,62.6,6.0,14.0,93.43,47.0,21.2,6.1,21.6,2.0,2.0,34.7,23.1,2.0,1219.37,3315.0,0,Q1
49.0,Female,Canada,Toronto,0.5,2.0,20.5,5.7,70.5,4.0,13.0,150.82,,57.6,4.1,18.7,7.0,1.0,0.0,14.7,3.0,1487.43,36.0,0,Q4
44.0,Female,USA,Chicago,1.3,25.0,36.2,12.6,40.8,7.0,14.0,91.51,3.0,73.8,10.4,21.9,1.0,5.0,47.2,31.8,1.0,1265.01,3720.0,0,Q3
52.0,Female,USA,Chicago,1.2,16.0,50.6,16.0,43.0,7.0,27.3,133.35,5.0,69.96,0.6,64.3,2.0,4.0,53.0,24.1,2.0,2516.35,3237.0,0,Q4
31.0,Female,USA,Houston,5.1,1.0,,3.7,61.2,4.0,9.1,76.43,23.0,53.76,,2.5,5.0,2.0,3.0,21.0,2.0,601.51,1663.0,0,Q4
48.0,Male,USA,Los Angeles,1.3,0.0,9.1,5.6,66.7,3.0,4.0,118.16,4.0,32.1,18.0,22.5,10.0,3.0,3.7,15.6,,428.58,1240.0,0,Q2
,Female,UK,London,4.0,2.0,22.8,7.4,74.9,0.0,9.0,96.95,17.0,27.2,0.5,,5.0,0.0,7.3,25.0,3.0,960.82,1510.0,0,Q2
41.0,Male,India,Mumbai,3.2,20.0,51.5,15.0,23.5,6.0,19.0,74.39,4.0,27.8,2.5,21.2,2.0,9.0,71.1,36.9,,1347.87,,0,Q3
33.0,Male,Australia,Adelaide,2.0,14.0,27.2,5.6,64.8,5.0,16.900000000000002,79.88,48.0,34.56,,33.2,12.0,,39.0,17.3,3.0,861.47,868.0,0,Q4
30.0,Female,UK,Manchester,0.1,14.0,23.1,12.8,54.1,6.0,14.0,78.69,17.0,34.9,9.3,23.2,10.0,6.0,53.1,16.2,1.0,1001.22,2065.0,0,Q2
39.0,Female,India,Chennai,3.3,7.0,,,69.1,0.0,10.0,89.07,14.0,63.6,0.6,18.8,10.0,0.0,59.8,18.2,4.0,875.66,67.0,0,Q2
39.0,Male,USA,Phoenix,0.4,7.0,14.2,6.6,92.7,2.0,6.0,82.04,3.0,52.0,3.1,10.6,6.0,0.0,28.4,13.4,2.0,557.99,1213.0,0,Q1
36.0,Male,Germany,Berlin,1.0,13.0,34.1,8.3,53.6,9.0,19.5,110.97,15.0,27.24,0.1,23.1,2.0,6.0,,12.2,3.0,1366.94,2756.0,0,Q4
42.0,Female,UK,Leeds,1.9,11.0,22.7,8.0,71.5,3.0,12.0,90.04,1.0,60.2,7.9,10.4,2.0,3.0,59.1,22.8,5.0,966.93,1107.0,0,Q3
32.0,Female,USA,Phoenix,5.9,3.0,16.9,6.1,75.5,,7.800000000000001,158.14,6.0,40.2,8.2,3.6,7.0,,38.5,14.7,2.0,1074.1,,0,Q4
47.0,Female,USA,Houston,7.5,8.0,20.6,4.8,78.2,0.0,6.5,69.95,6.0,73.92,2.2,23.5,9.0,3.0,5.6,10.9,4.0,377.65,1512.0,0,Q4
34.0,Female,Canada,Calgary,2.1,1.0,25.9,7.0,55.5,4.0,9.0,148.91,,,10.4,13.1,,1.0,28.7,20.4,2.0,1555.56,838.0,0,Q3
42.0,Male,India,Hyderabad,0.5,9.0,22.3,9.0,54.9,0.0,9.0,104.93,,67.0,2.5,22.0,6.0,2.0,11.5,12.3,1.0,1016.65,402.0,0,Q1
37.0,Male,USA,Los Angeles,5.1,9.0,12.5,7.7,56.2,3.0,11.7,108.29,5.0,41.76,9.9,6.0,8.0,1.0,24.5,21.3,2.0,814.85,1752.0,0,Q4
,Female,France,Paris,3.9,13.0,33.2,10.9,26.9,7.0,18.0,160.98,66.0,,8.7,39.0,2.0,8.0,82.2,34.2,1.0,2828.67,2395.0,0,Q2
43.0,Female,USA,Houston,1.1,8.0,18.1,5.9,66.3,4.0,8.0,100.52,71.0,20.1,4.7,19.0,9.0,3.0,15.3,8.9,2.0,908.74,1547.0,0,Q3
51.0,Female,India,Mumbai,1.9,3.0,27.2,8.5,63.4,1.0,11.0,135.81,7.0,27.6,2.4,34.5,3.0,2.0,35.8,15.5,1.0,1253.68,1371.0,0,Q2
23.0,Male,USA,Chicago,2.2,15.0,21.4,7.2,54.9,4.0,10.0,105.57,5.0,62.8,5.8,17.5,8.0,,,24.9,3.0,1122.39,2659.0,0,Q1
27.0,Male,Canada,Toronto,1.5,13.0,35.3,10.3,54.0,2.0,15.6,49.32,41.0,33.239999999999995,,24.2,7.0,7.0,33.3,22.1,1.0,572.83,2267.0,0,Q4
59.0,Male,USA,Los Angeles,1.9,9.0,,8.1,64.1,2.0,11.0,74.14,91.0,35.0,9.6,7.6,7.0,4.0,32.9,15.1,3.0,903.87,3058.0,0,Q1
,Female,USA,New York,1.8,17.0,28.2,15.7,37.0,7.0,19.0,115.52,6.0,27.8,7.0,19.1,2.0,7.0,14.5,19.2,1.0,2614.95,3683.0,0,Q3
37.0,Female,Japan,Kyoto,1.7,18.0,35.1,11.2,48.1,5.0,13.0,96.11,52.0,49.8,2.9,34.7,4.0,6.0,39.8,25.7,2.0,1455.41,3418.0,0,Q3
53.0,Male,Australia,Adelaide,1.5,9.0,17.7,7.8,74.8,3.0,11.0,136.94,44.0,39.8,1.5,12.3,4.0,0.0,14.0,17.2,1.0,1532.75,415.0,0,Q1
35.0,Male,USA,Houston,1.4,11.0,25.5,11.4,73.1,6.0,8.0,85.43,29.0,29.9,,37.9,6.0,2.0,,21.4,4.0,733.35,,0,Q2
26.0,Male,USA,Chicago,1.9,17.0,29.5,11.1,64.9,6.0,10.0,68.0,22.0,42.2,4.2,29.5,4.0,5.0,47.9,29.1,2.0,574.84,4573.0,0,Q3
,Male,USA,Chicago,2.5,10.0,22.5,6.3,56.8,4.0,11.7,132.55,110.0,,8.4,18.2,5.0,2.0,8.6,17.5,1.0,1109.75,,0,Q4
32.0,Female,Japan,Tokyo,10.0,15.0,24.3,7.0,68.6,3.0,23.4,91.76,19.0,41.28,6.1,23.7,3.0,7.0,,21.7,2.0,1440.26,,0,Q4
28.0,Female,Canada,Montreal,2.7,6.0,22.7,3.2,66.0,1.0,7.800000000000001,109.28,31.0,42.84,,9.9,3.0,4.0,24.2,22.2,1.0,579.03,1364.0,0,Q4
44.0,Female,France,Lyon,5.3,7.0,22.2,,71.5,,10.4,124.51,48.0,42.96,15.4,14.3,3.0,3.0,6.4,22.8,2.0,932.57,2099.0,0,Q4
29.0,Female,USA,New York,0.1,4.0,36.2,9.7,48.8,6.0,10.0,264.02,,33.3,7.1,23.8,3.0,7.0,34.5,,2.0,2305.4,2278.0,0,Q2
39.0,Male,France,Marseille,4.8,16.0,23.7,11.7,44.9,9.0,14.3,104.84,52.0,9.6,4.4,10.6,6.0,2.0,40.1,22.7,3.0,997.55,2878.0,0,Q4
36.0,Male,France,Toulouse,5.4,19.0,34.2,,59.4,12.0,17.0,108.46,,83.9,,26.9,11.0,6.0,62.1,23.4,1.0,1870.83,3966.0,0,Q3
29.0,Female,UK,London,5.3,7.0,28.0,8.8,55.3,1.0,12.0,33.25,26.0,72.3,,9.3,5.0,2.0,14.8,14.9,2.0,413.01,528.0,0,Q3
54.0,Female,USA,Phoenix,0.7,20.0,35.9,11.0,52.1,5.0,23.4,76.18,44.0,43.68,6.1,28.4,4.0,2.0,40.6,24.3,1.0,1257.49,3819.0,0,Q4
29.0,Female,Australia,Melbourne,0.7,16.0,20.1,4.4,65.7,10.0,18.2,102.27,4.0,,0.2,12.0,5.0,7.0,0.0,18.4,3.0,1382.88,756.0,0,Q4
23.0,Female,USA,Chicago,1.8,24.0,52.5,17.7,21.2,9.0,36.4,148.28,17.0,69.24,11.1,45.9,1.0,3.0,77.3,39.0,1.0,4057.8,3091.0,0,Q4
36.0,Male,France,Marseille,5.2,10.0,24.3,7.8,42.7,6.0,10.0,144.04,36.0,38.5,2.5,22.3,12.0,,21.5,,3.0,1203.63,2210.0,0,Q1
18.0,Female,Japan,Kyoto,3.0,9.0,10.1,9.3,62.8,3.0,12.0,101.78,22.0,36.1,5.6,12.4,12.0,3.0,0.0,12.8,2.0,1375.73,275.0,0,Q3
46.0,Female,Canada,Ottawa,0.3,5.0,26.9,10.2,68.7,2.0,13.0,76.11,17.0,67.2,7.0,9.3,7.0,0.0,23.5,19.4,4.0,1150.17,4000.0,0,Q1
31.0,Male,UK,Manchester,0.3,21.0,43.9,13.0,47.4,,23.4,97.57,36.0,51.24,5.0,23.1,3.0,4.0,70.2,22.2,2.0,1758.08,4294.0,0,Q4
19.0,Female,UK,Manchester,3.1,9.0,,9.9,64.3,4.0,16.0,99.06,13.0,40.7,3.7,26.0,5.0,5.0,19.9,25.4,2.0,1367.12,,0,Q1
42.0,Male,India,Mumbai,2.7,19.0,46.5,17.3,32.2,15.0,22.0,92.06,66.0,17.4,0.5,49.4,3.0,4.0,68.4,33.8,4.0,2303.84,4833.0,0,Q1
,Female,Japan,Yokohama,1.8,18.0,20.0,7.2,49.4,4.0,21.0,240.48,24.0,13.7,3.8,14.3,4.0,3.0,47.3,22.4,2.0,5243.26,2052.0,0,Q3
40.0,Female,USA,Houston,2.2,7.0,38.1,10.1,58.5,5.0,11.0,109.04,2.0,72.9,7.8,28.8,1.0,2.0,,18.7,4.0,1331.16,2462.0,0,Q2
46.0,Male,UK,Birmingham,1.0,16.0,34.5,10.0,71.5,3.0,12.0,94.52,56.0,60.6,12.8,26.1,1.0,5.0,22.8,19.0,2.0,1098.29,1810.0,0,Q2
30.0,Female,UK,Manchester,2.3,11.0,30.7,5.5,47.4,3.0,12.0,105.42,60.0,50.2,12.6,37.6,4.0,5.0,40.3,,1.0,1311.16,2497.0,0,Q1
36.0,Male,Canada,Calgary,5.1,9.0,,6.6,69.8,2.0,7.0,107.8,19.0,39.1,7.5,24.4,6.0,3.0,13.9,19.2,3.0,804.55,1044.0,0,Q1
45.0,Male,Germany,Cologne,0.6,13.0,30.7,10.5,65.2,5.0,18.2,83.4,16.0,,12.5,23.1,5.0,,51.0,17.6,1.0,1208.91,4130.0,0,Q4
34.0,Male,USA,Chicago,1.8,15.0,27.0,9.8,48.5,0.0,13.0,103.91,2.0,,6.4,7.4,8.0,1.0,0.3,12.2,2.0,1307.42,757.0,0,Q1
45.0,Male,USA,Houston,5.4,14.0,28.6,8.9,49.3,5.0,15.0,137.44,63.0,12.1,4.2,27.6,5.0,3.0,48.0,22.4,1.0,2423.37,,0,Q2
43.0,Female,Germany,Cologne,2.1,14.0,28.9,10.8,51.3,4.0,14.3,78.6,65.0,55.68,5.6,19.5,10.0,4.0,,17.4,5.0,890.18,2337.0,0,Q4
32.0,Male,France,Paris,2.7,9.0,14.1,7.7,56.9,1.0,7.0,88.67,3.0,30.2,,13.8,9.0,2.0,37.2,17.0,3.0,522.06,1040.0,0,Q3
48.0,Female,Australia,Brisbane,0.9,14.0,34.1,12.3,48.4,4.0,19.5,104.87,14.0,17.04,1.4,23.9,5.0,3.0,,24.1,2.0,1406.17,2231.0,0,Q4
33.0,Female,France,Marseille,6.8,2.0,,9.3,64.6,,18.2,108.35,14.0,23.76,13.1,18.1,3.0,1.0,43.4,15.0,3.0,1793.76,2888.0,0,Q4
44.0,Female,USA,New York,3.7,5.0,15.4,6.4,74.3,,11.0,180.31,74.0,27.3,7.5,20.9,5.0,,25.9,17.9,3.0,2104.31,523.0,0,Q1
25.0,Male,India,Mumbai,2.9,4.0,26.9,6.3,56.9,2.0,8.0,113.27,24.0,20.2,12.6,1.0,9.0,2.0,11.5,18.2,3.0,1038.54,,0,Q3
18.0,Male,UK,Birmingham,4.0,11.0,7.6,7.4,55.0,5.0,9.0,91.31,16.0,69.7,2.4,0.0,6.0,1.0,15.4,16.4,2.0,713.46,,0,Q2
33.0,Other,USA,Houston,2.9,5.0,18.2,6.3,46.0,4.0,5.0,167.75,42.0,20.4,4.7,3.7,10.0,1.0,23.1,19.0,3.0,776.1,1508.0,0,Q3
